DecoplerBox,DecouplerCH,HV Channel,Flange,FlangeHole,FlangeID,ADC_Board_Order,ADC_Board,ADC_CH,PMT,HV,Position,Uncoated,X,Y,Z,ADCToPE,Threshold,ADCToPE2
V1,1,0,F1,R11,F1R11,0,99,0,1inch,800,VT23,0,0,0,0,58.3383,23,104
V1,2,0,F1,R12,F1R12,0,99,1,1inch,800,VT3,0,0,0,0,35.9334,11,184
V1,3,0,F1,R10,F1R10,0,99,2,1inch,800,VCB20,0,0,0,0,46.2976,21,160
V1,4,0,F1,R6,F1R6,0,99,3,1inch,800,VCT2,0,0,0,0,35.0962,13,136
V1,5,0,F1,R7,F1R7,0,99,4,1inch,800,VCB24,0,0,0,0,38.4877,19,104
V1,6,0,F1,R8,F1R8,0,99,5,1inch,800,VCT18,0,0,0,0,59.8788,25,248
V1,7,0,F1,R9,F1R9,0,99,6,1inch,800,VCT22,0,0,0,0,60.159,23,64
V1,8,0,F2,R2,F2R2,0,99,7,1inch,800,VCB4,0,0,0,0,43.1198,17,240
V2,1,0,F1,Y2,F1Y2,0,99,8,1inch,800,VCT17,0,0,0,0,55.3307,21,88
V2,2,0,F1,Y1,F1Y1,0,99,9,1inch,800,VT19,0,0,0,0,44.5907,17,200
V2,3,0,F2,R5,F2R5,0,99,10,1inch,800,VCT10,0,0,0,0,40.9731,17,152
V2,4,0,F2,R6,F2R6,0,99,11,1inch,800,VCT14,0,0,0,0,65.8003,27,96
V2,5,0,F2,R7,F2R7,0,99,12,1inch,800,VCB16,0,0,0,0,50.7191,21,64
V2,6,0,F2,R8,F2R8,0,99,13,1inch,800,VT7,0,0,0,0,12.9875,7,104
V2,7,0,F2,R11,F2R11,0,99,14,1inch,800,VCB11,0,0,0,0,59.302,19,64
V2,8,0,F2,R10,F2R10,1,64,0,1inch,800,VT15,0,0,0,0,44.9476,17,64
V3,1,0,F2,R9,F2R9,1,64,1,1inch,800,VT11,0,0,0,0,55.6866,21,88
V3,2,0,F2,R1,F2R1,1,64,2,1inch,800,VCB12,0,0,0,0,29.2513,13,104
V3,3,0,F2,R12,F2R12,1,64,3,1inch,800,VCT9,0,0,0,0,58.0124,19,120
V3,4,0,F2,Y1,F2Y1,1,64,4,1inch,800,VCT13,0,0,0,0,63.1707,25,136
V3,5,0,F2,Y2,F2Y2,1,64,5,1inch,800,VCB15,0,0,0,0,63.6441,25,216
V3,6,0,F2,R3,F2R3,1,64,6,1inch,800,VCT6,0,0,0,0,28.3656,9,64
V3,7,0,F2,R4,F2R4,1,64,7,1inch,800,VCB8,0,0,0,0,46.761,21,80
