Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCToPE,Threshold,ADCToPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)"
1,0,38,F1,B19,F1B19,1,64,8,FB0561,1500,C22R5,0,0.746705,-0.746705,-0.422,32.0535,11,64,1,5589.62,3
3,4,12,F1,Y8,F1Y8,1,64,9,FB0491,1580,C17R1,0,-0.528,-0.914523,0.422,36.7951,11,80,0,0,3
3,4,24,F1,Y13,F1Y13,1,64,10,FB0496,1420,C18R1,0,-0.273313,-1.02002,0.422,27.6383,9,192,1,4740.31,3
3,4,36,F1,G19,F1G19,1,64,11,FB0502,1440,C3R4,uncoated,0.914523,0.528,-0.211,26.6493,9,224,1,5333.69,2
1,0,37,F1,Y4,F1Y4,1,64,12,FB0652,1460,C16R2,uncoated,-0.746705,-0.746705,0.211,31.2183,11,144,1,4774.88,2
2,2,12,F1,B2,F1B2,1,64,13,FB0610,1390,C19R3,0,-1.93984E-16,-1.056,0,47.6338,17,120,1,5392.44,3
2,2,24,F2,B9,F2B9,1,64,14,FB0575,1480,C8R5,0,-0.273313,1.02002,-0.422,31.0307,11,208,1,4818.06,3
2,2,36,F2,B12,F2B12,2,104,0,FB0571,1620,C9R3,0,-0.528,0.914523,0,30.2866,11,280,0,0,3
1,0,36,F2,Y16,F2Y16,2,104,1,FB0536,1730,C6R4,0,0.273313,1.02002,-0.211,27.8066,9,176,1,5675.81,3
1,0,12,F2,B21,F2B21,2,104,2,FB0634,1320,C11R2,0,-0.914523,0.528,0.211,12.4216,7,40,1,0,3
1,0,24,F2,B5,F2B5,2,104,3,FB0569,1490,C8R1,0,-0.273313,1.02002,0.422,35.679,15,40,1,5902.31,3
3,4,1,F1,B21,F1B21,2,104,4,FB0516,1330,C23R2,0,0.914523,-0.528,0.211,19.8031,7,160,1,6274.31,3
3,4,13,F1,Y7,F1Y7,2,104,5,FB0494,1510,C16R5,0,-0.746705,-0.746705,-0.422,31.9843,9,168,0,0,3
3,4,25,F1,Y11,F1Y11,2,104,6,FB0648,1420,C17R4,uncoated,-0.528,-0.914523,-0.211,20.0641,7,40,1,4732.69,2
3,4,37,F1,G9,F1G9,2,104,7,FB0509,1540,C1R4,uncoated,1.056,0,-0.211,31.2818,11,160,1,5212,2
2,2,1,F1,B6,F1B6,2,104,8,FB0644,1420,C20R2,uncoated,0.273313,-1.02002,0.211,16.7459,7,184,1,0,2
2,2,13,F1,B24,F1B24,2,104,9,FB0522,1590,C23R5,0,0.914523,-0.528,-0.422,24.9194,9,184,1,5076.19,3
2,2,25,F2,G8,F2G8,2,104,10,FB0578,1430,C13R3,0,-1.056,1.29323E-16,0,29.3125,9,40,1,5529.75,3
2,2,37,F2,Y9,F2Y9,2,104,11,FB0498,1910,C5R2,0,0.528,0.914523,0.211,-1,-1,200,0,0,3
