Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
1,1,15,F2,G18,F2G18,0,1,0,V10,840,VCT5,0,-1.00355,114.996,65,,-1,,1,1,1,222,2,3,18,0
1,1,1,F2,B4,F2B4,0,1,1,V126,840,VB5,0,-1.00355,114.996,-75,,-1,,1,1,1,244,2,4,4,1
1,1,2,F2,B3,F2B3,0,1,2,V125,840,VCB4,0,28.7937,111.337,-65,,-1,,1,1,1,243,2,4,3,2
1,1,3,F2,G17,F2G17,0,1,3,V14,840,VCT21,0,100.091,-56.6287,65,,-1,,1,1,1,221,2,3,17,3
1,1,4,F3,B23,F3B23,0,1,4,FB0697,1593,C201R6,0,41,0,-58,31.01,-1,31.01,1,1,3,183,3,4,23,4
1,1,5,F3,B13,F3B13,0,1,5,V11,840,VCT9,0,-100.091,56.6287,65,,-1,,1,1,1,204,3,4,13,5
1,1,6,F3,B11,F3B11,0,1,6,V29,840,VT10,0,-111.337,28.7937,-75,,-1,,1,1,1,202,3,4,11,6
1,1,7,F2,G21,F2G21,0,1,7,V25,840,VT14,0,-80.6046,-82.0238,-75,,-1,,1,1,1,213,2,3,21,7
1,1,8,F3,B25,F3B25,0,1,8,V36,840,VT4,0,28.7937,111.337,-75,,-1,,1,1,1,216,3,4,25,8
1,1,9,F3,B27,F3B27,0,1,9,V16,840,VCT17,0,1.00355,-114.996,65,,-1,,1,1,1,218,3,4,27,9
1,1,10,F1,I28,F1I28,0,1,10,VS,840,VB15,0,-56.6287,-100.091,-75,,-1,,1,1,1,237,1,5,28,10
1,1,11,F1,I22,F1I22,0,1,11,V128,840,VB9,0,-100.091,56.6287,-75,,-1,,1,1,1,231,1,5,22,11
1,1,46,F3,B20,F3B20,0,1,12,V16,840,VCT15,0,-56.6287,-100.091,65,,-1,,1,1,1,211,3,4,20,12
