Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
4,4,0,F1,R1,F1R1,5,5,11,FB0792,1673,C401R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,2,2,401,0,1600.0,1673,74.0,-999.0,19.306
4,4,36,F1,R1,F1R1,5,5,14,FB0791,1602,C210R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,4,4,210,0,1600.0,1602,77.0,-999.0,31.584
4,4,24,F1,R1,F1R1,5,5,13,FB0790,1639,C201R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,5,5,201,0,1600.0,1639,76.0,-999.0,24.426
4,4,37,F1,R1,F1R1,5,5,15,FB0793,1612,C315R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,7,7,315,0,1600.0,1612,78.0,-999.0,29.518
4,4,12,F1,R1,F1R1,5,5,12,FB0787,1700,C301R0,uncoated ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,8,8,301,0,1600.0,1700,75.0,-999.0,4.754
2,2,39,F1,Y2,F1Y2,5,5,9,FB0789,1678,C314R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,10,1,314,0,1600.0,1678,72.0,-999.0,18.618
2,2,3,F1,Y2,F1Y2,5,5,2,FB0797,1668,C313R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,12,3,313,0,1600.0,1668,65.0,-999.0,20.002
2,2,27,F1,Y2,F1Y2,5,5,7,FB0788,1640,C209R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,13,4,209,0,1600.0,1640,70.0,-999.0,24.2
2,2,16,F1,Y2,F1Y2,5,5,5,FB0728,1604,C417R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,14,5,417,0,1600.0,1604,68.0,-999.0,31.158
2,2,26,F1,Y2,F1Y2,5,5,6,FB0827,1582,C104R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,15,6,104,0,1600.0,1582,69.0,-999.0,36.31
2,2,28,F1,Y2,F1Y2,5,5,8,FB0692,1605,C312R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,16,7,312,0,1600.0,1605,71.0,-999.0,31.006
2,2,14,F1,Y2,F1Y2,5,5,3,FB0707,1609,C207R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,17,8,207,0,1600.0,1609,66.0,-999.0,30.054
2,2,2,F1,Y2,F1Y2,5,5,1,FB0778,1700,C208R0,uncoated,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,2,18,9,208,0,1600.0,1700,64.0,-999.0,6.148
2,2,15,F1,Y2,F1Y2,5,5,4,FB0785,1651,C415R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,19,10,415,0,1600.0,1651,67.0,-999.0,22.432
2,2,40,F1,Y2,F1Y2,5,5,10,FB0698,1615,C311R0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,20,11,311,0,1600.0,1615,73.0,-999.0,28.852
4,4,20,F1,Y2,F1Y2,12,12,10,FB0795,1610,C2R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,41,12,2,3,1600.0,1610,185.0,-999.0,29.896
4,4,19,F1,Y2,F1Y2,12,12,9,FB0830,1610,C2R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,42,13,2,4,1600.0,1610,184.0,-999.0,29.908
4,4,45,F1,Y2,F1Y2,14,14,2,FB0836,1693,C2R2,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,43,14,2,2,1600.0,1693,209.0,-999.0,16.852
4,4,7,F1,Y2,F1Y2,11,11,13,FB0852,1642,C2R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,44,15,2,5,1600.0,1642,172.0,-999.0,23.856
4,4,32,F1,G3,F1G3,13,13,6,FB0786,1655,C2R1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,45,5,2,1,1600.0,1655,197.0,-999.0,21.816
4,4,43,F1,G3,F1G3,13,13,15,FB0832,1700,C1R3,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,46,2,1,3,1600.0,1700,206.0,-999.0,17.25
4,4,31,F1,G3,F1G3,13,13,5,FB0838,1630,C1R4,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,47,3,1,4,1600.0,1630,196.0,-999.0,26.082
4,4,8,F1,G3,F1G3,11,11,14,FB0834,1700,C1R5,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,3,48,4,1,5,1600.0,1700,173.0,-999.0,39.868
