Decopler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMT,HV,Position,Coating,X,Y,Z,ADCtoPE,Threshold,ADCtoPE2,HV On,SPE rate(kHz),"Type (1”,2uncoat,3coat)",Cable#,Swage,Column,Row,Hvrec,Hvmatch,Key,PMT Type,Avg SPE value
4,4,0,F1,R1,F1R1,5,5,11,FB0792,1673,C401R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,2,2,401,0,1600,1673,74,-999,19.306
4,4,36,F1,R1,F1R1,5,5,14,FB0791,1602,C210R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,4,4,210,0,1600,1602,77,-999,31.584
4,4,24,F1,R1,F1R1,5,5,13,FB0790,1639,C201R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,5,5,201,0,1600,1639,76,-999,24.426
4,4,37,F1,R1,F1R1,5,5,15,FB0793,1612,C315R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,7,7,315,0,1600,1612,78,-999,29.518
4,4,12,F1,R1,F1R1,5,5,12,FB0787,1700,C301R0,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,8,8,301,0,1600,1700,75,-999,4.754
2,2,39,F1,Y2,F1Y2,5,5,9,FB0789,1678,C314R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,10,1,314,0,1600,1678,72,-999,18.618
2,2,3,F1,Y2,F1Y2,5,5,2,FB0797,1668,C313R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,12,3,313,0,1600,1668,65,-999,20.002
2,2,27,F1,Y2,F1Y2,5,5,7,FB0788,1640,C209R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,13,4,209,0,1600,1640,70,-999,24.2
2,2,16,F1,Y2,F1Y2,5,5,5,FB0728,1604,C417R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,14,5,417,0,1600,1604,68,-999,31.158
2,2,26,F1,Y2,F1Y2,5,5,6,FB0827,1582,C104R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,15,6,104,0,1600,1582,69,-999,36.31
2,2,28,F1,Y2,F1Y2,5,5,8,FB0692,1605,C312R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,16,7,312,0,1600,1605,71,-999,31.006
2,2,14,F1,Y2,F1Y2,5,5,3,FB0707,1609,C207R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,17,8,207,0,1600,1609,66,-999,30.054
2,2,2,F1,Y2,F1Y2,5,5,1,FB0778,1700,C208R0,uncoated,-999,-999,-999,-999,-999,-999,1,-999,2,18,9,208,0,1600,1700,64,-999,6.148
2,2,15,F1,Y2,F1Y2,5,5,4,FB0785,1651,C415R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,19,10,415,0,1600,1651,67,-999,22.432
2,2,40,F1,Y2,F1Y2,5,5,10,FB0698,1615,C311R0,0,-999,-999,-999,-999,-999,-999,1,-999,3,20,11,311,0,1600,1615,73,-999,28.852
4,4,20,F1,Y2,F1Y2,12,12,10,FB0795,1610,C2R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,41,12,2,3,1600,1610,185,-999,29.896
4,4,19,F1,Y2,F1Y2,12,12,9,FB0830,1610,C2R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,42,13,2,4,1600,1610,184,-999,29.908
4,4,45,F1,Y2,F1Y2,14,14,2,FB0836,1693,C2R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,43,14,2,2,1600,1693,209,-999,16.852
4,4,7,F1,Y2,F1Y2,11,11,13,FB0852,1642,C2R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,44,15,2,5,1600,1642,172,-999,23.856
4,4,32,F1,G3,F1G3,13,13,6,FB0786,1655,C2R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,45,5,2,1,1600,1655,197,-999,21.816
4,4,43,F1,G3,F1G3,13,13,15,FB0832,1700,C1R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,46,2,1,3,1600,1700,206,-999,17.25
4,4,31,F1,G3,F1G3,13,13,5,FB0838,1630,C1R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,47,3,1,4,1600,1630,196,-999,26.082
4,4,8,F1,G3,F1G3,11,11,14,FB0834,1700,C1R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,48,4,1,5,1600,1700,173,-999,39.868
4,4,33,F1,G3,F1G3,13,13,7,FB0837,1700,C1R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,49,1,1,1,1600,1700,198,-999,13.848
4,4,44,F1,G3,F1G3,14,14,1,FB0687,1700,C1R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,50,6,1,2,1600,1700,208,-999,1.53
4,4,40,F2,R1,F2R1,13,13,12,FB0777,1591,C3R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,51,1,3,3,1600,1591,203,-999,34.048
4,4,39,F2,R1,F2R1,13,13,11,FB0695,1615,C3R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,52,2,3,5,1600,1615,202,-999,28.762
4,4,42,F2,R1,F2R1,13,13,14,FB0775,1700,C3R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,53,3,3,1,1600,1700,205,-999,1.558
4,4,4,F2,R1,F2R1,11,11,10,FB0846,1684,C3R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,54,4,3,4,1600,1684,169,-999,17.882
4,4,41,F2,R1,F2R1,13,13,13,FB0803,1658,C3R2,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,55,5,3,2,1600,1658,204,-999,21.402
4,4,17,F2,R1,F2R1,12,12,7,FB0680,1608,C5R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,56,6,5,2,1600,1608,182,-999,30.228
4,4,28,F2,R1,F2R1,13,13,2,FB0709,1505,C5R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,57,7,5,5,1600,1505,193,-999,61.688
4,4,30,F2,R1,F2R1,13,13,4,FB0851,1703,C5R1,uncoated ,-999,-999,-999,-999,-999,-999,1,-999,2,58,8,5,1,1600,1703,195,-999,15.65
4,4,16,F2,R1,F2R1,12,12,6,FB0727,1718,C5R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,59,9,5,4,1600,1718,181,-999,14.132
4,4,29,F2,Y2,F2Y2,13,13,3,FB0712,1652,C5R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,60,1,5,3,1600,1652,194,-999,22.322
4,4,3,F2,Y2,F2Y2,11,11,9,FB0696,1576,C24R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,61,2,24,5,1600,1576,168,-999,37.84
4,4,13,F2,Y2,F2Y2,12,12,3,FB0674,1660,C24R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,62,3,24,2,1600,1660,178,-999,21.146
4,4,38,F2,Y2,F2Y2,13,13,10,FB0853,1671,C24R4,uncoated,-999,-999,-999,-999,-999,-999,1,-999,2,63,4,24,4,1600,1671,201,-999,19.594
4,4,25,F2,Y2,F2Y2,12,12,14,FB0731,1709,C24R1,0,-999,-999,-999,-999,-999,-999,1,-999,3,64,5,24,1,1600,1709,189,-999,15.062
4,4,2,F2,Y2,F2Y2,11,11,8,FB0705,1700,C24R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,65,6,24,3,1600,1700,167,-999,-53.034
4,4,15,F2,Y2,F2Y2,12,12,5,FB0772,1700,C23R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,66,7,23,4,1600,1700,180,-999,-3.9
4,4,26,F2,Y2,F2Y2,12,12,15,FB0773,1700,C23R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,67,8,23,3,1600,1700,190,-999,7.842
4,4,1,F2,Y2,F2Y2,11,11,7,FB0768,1700,C23R1,uncoated,-999,-999,-999,-999,-999,-999,1,-999,2,68,9,23,1,1600,1700,166,-999,2.912
4,4,14,F2,Y2,F2Y2,12,12,4,FB0855,1636,C23R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,69,10,23,2,1600,1636,179,-999,24.912
4,4,27,F2,Y2,F2Y2,13,13,1,FB0845,1700,C23R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,70,11,23,5,1600,1700,192,-999,7.144
3,3,42,F2,Y2,F2Y2,10,10,15,FB0713,1720,C4R5,0,-999,-999,-999,-999,-999,-999,1,-999,3,71,12,4,5,1600,1720,158,-999,13.916
3,3,30,F2,Y2,F2Y2,10,10,3,FB0681,1637,C4R3,0,-999,-999,-999,-999,-999,-999,1,-999,3,72,13,4,3,1600,1637,146,-999,24.828
3,3,17,F2,Y2,F2Y2,9,9,3,FB0798,1499,C4R4,0,-999,-999,-999,-999,-999,-999,1,-999,3,73,14,4,4,1600,1499,130,-999,64.332
3,3,18,F2,Y2,F2Y2,9,9,4,FB0774,1666,C4R2,0,-999,-999,-999,-999,-999,-999,1,-999,3,74,15,4,2,1600,1666,131,-999,20.3164
