Decoupler Box,HV Board,HV CH,Flange ID,Swage,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold ,ADC2PE2,HV On,SPE rate,Type
4,4,2,1,1,F3G3,11,11,8,FB0784,1650,C101R0,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,12,4,27,,14,14,9,FB0699,1650,C101R6,0,-1,-1,-1,1,-1,1,1,1,1
4,4,12,1,9,F3G3,5,5,12,FB0835,1650,C102R0,0,-1,-1,-1,1,-1,1,1,1,1
0,0,41,5,13,,16,16,10,FB0626,1650,C102R6,0,-1,-1,-1,1,-1,1,1,1,1
4,4,0,1,6,F3B4,5,5,11,FB0783,1650,C103R0,U ,-1,-1,-1,1,-1,1,1,1,1
0,0,3,5,14,F2G3,2,2,10,FB0691,1650,C103R6,0,-1,-1,-1,1,-1,1,1,1,1
2,2,26,2,6,F2R1,5,5,6,FB0827,1650,C104R0,0,-1,-1,-1,1,-1,1,1,1,1
-999,-999,-999,-999,-999,-999,-999,-999,-999,FB0750,1650,C104R6,U ,-1,-1,-1,1,-1,1,1,1,1
4,4,1,1,3,F1Y2,11,11,7,FB0831,1650,C105R0,0,-1,-1,-1,1,-1,1,1,1,1
-999,-999,-999,-999,-999,-999,-999,-999,-999,FB0829,1650,C105R6,0,-1,-1,-1,1,-1,1,1,1,1
4,4,34,3,7,F1K5,13,13,8,FB0724,1650,C10R1,0,-1,-1,-1,1,-1,1,1,1,1
4,4,22,3,12,F3K5,12,12,12,FB0813,1650,C10R2,0,-1,-1,-1,1,-1,1,1,1,1
4,4,10,3,11,F2G3,12,12,1,FB0808,1650,C10R3,0,-1,-1,-1,1,-1,1,1,1,1
4,4,21,3,16,F3B4,12,12,11,FB0815,1650,C10R4,0,-1,-1,-1,1,-1,1,1,1,1
4,4,9,3,13,F3G3,11,11,15,FB0802,1650,C10R5,U ,-1,-1,-1,1,-1,1,1,1,1
2,2,6,2,12,F1G3,6,6,3,FB0840,1650,C11R1,0,-1,-1,-1,1,-1,1,1,1,1
2,2,17,2,14,F3B4,6,6,9,FB0799,1650,C11R2,U ,-1,-1,-1,1,-1,1,1,1,1
2,2,42,2,13,F1B4,7,7,9,FB0809,1650,C11R3,0,-1,-1,-1,1,-1,1,1,1,1
3,3,5,2,15,F2Y2,8,8,6,FB0776,1650,C11R4,0,-1,-1,-1,1,-1,1,1,1,1
2,2,5,3,1,F3K5,6,6,2,FB0844,1650,C11R5,0,-1,-1,-1,1,-1,1,1,1,1
2,2,30,3,3,F1B4,7,7,2,FB0841,1650,C12R1,0,-1,-1,-1,1,-1,1,1,1,1
2,2,29,3,5,F1K5,7,7,1,FB0849,1650,C12R2,0,-1,-1,-1,1,-1,1,1,1,1
2,2,41,3,4,F1R1,7,7,8,FB0842,1650,C12R3,0,-1,-1,-1,1,-1,1,1,1,1
3,3,15,3,10,F3G3,9,9,1,FB0805,1650,C12R4,U ,-1,-1,-1,1,-1,1,1,1,1
3,3,27,3,9,F1G3,9,9,15,FB0769,1650,C12R5,0,-1,-1,-1,1,-1,1,1,1,1
2,2,18,3,6,F1B4,6,6,10,FB0800,1650,C13R1,U ,-1,-1,-1,1,-1,1,1,1,1
3,3,16,3,7,F2Y2,9,9,2,FB0848,1650,C13R2,0,-1,-1,-1,1,-1,1,1,1,1
3,3,4,3,11,F3G3,8,8,5,FB0843,1650,C13R3,0,-1,-1,-1,1,-1,1,1,1,1
3,3,2,3,8,F2G3,8,8,3,FB0847,1650,C13R4,0,-1,-1,-1,1,-1,1,1,1,1
