Decoupler Box,HV Board,HV CH,Flange,Flange Hole,Flange ID,ADC Board Order,ADC Board,ADC CH,PMTID,HV Value,Position,Coating,X,Y,Z,ADC2PE,Threshold,ADC2PE2,HV On,SPE rate,"Type (1in,2uncoat,3coat)",Cable#,Flange_num,Ring_num,Swage_num,Key
1,1,42,F3,B10,F3B10,2,3,12,V15,840,VCB10,0,-111.337,28.7937,-65.0,16.0,6.0,16.0,1,1,1,201,3,4,10,44
1,1,6,F3,B11,F3B11,0,1,6,V29,840,VT10,0,-111.337,28.7937,-75.0,16.0,6.0,16.0,1,1,1,202,3,4,11,6
1,1,29,F3,B12,F3B12,1,2,14,V34,840,VCB6,0,-30.7324,110.818,-65.0,16.0,6.0,16.0,1,1,1,203,3,4,12,30
1,1,5,F3,B13,F3B13,0,1,5,V11,840,VCT9,0,-100.091,56.6287,65.0,16.0,6.0,16.0,1,1,1,204,3,4,13,5
1,1,31,F3,B14,F3B14,2,2,1,V33,840,VCB12,0,-110.818,-30.7324,-65.0,16.0,6.0,16.0,1,1,1,205,3,4,14,33
1,1,30,F3,B15,F3B15,1,2,0,V27,840,VCT11,0,-114.996,-1.00355,65.0,16.0,6.0,16.0,1,1,1,206,3,4,15,16
1,1,17,F3,B18,F3B18,1,2,2,V28,840,VCT13,0,-99.0874,-58.3669,65.0,16.0,6.0,16.0,1,1,1,207,3,4,18,18
1,1,43,F3,B17,F3B17,2,3,13,V8,840,VT12,0,-110.818,-30.7324,-75.0,16.0,6.0,16.0,1,1,1,208,3,4,17,45
1,1,19,F3,B16,F3B16,1,2,4,V28,840,VCB2,0,80.6046,82.0238,-65.0,16.0,6.0,16.0,1,1,1,209,3,4,16,20
1,1,18,F3,B19,F3B19,1,2,3,V6,840,VCT7,0,-58.3669,99.0874,65.0,16.0,6.0,16.0,1,1,1,210,3,4,19,19
1,1,46,F3,B20,F3B20,0,1,12,V16,840,VCT15,0,-56.6287,-100.091,65.0,16.0,6.0,16.0,1,1,1,211,3,4,20,12
1,1,32,F3,B21,F3B21,2,3,2,V31,840,VT18,0,30.7324,-110.818,-75.0,16.0,6.0,16.0,1,1,1,212,3,4,21,34
1,1,7,F2,G21,F2G21,0,1,7,V25,840,VT14,0,-80.6046,-82.0238,-75.0,16.0,6.0,16.0,1,1,1,213,2,3,21,7
1,1,21,F3,B24,F3B24,1,2,6,V30,840,VT16,0,-28.7937,-111.337,-75.0,16.0,6.0,16.0,1,1,1,215,3,4,24,22
1,1,8,F3,B25,F3B25,0,1,8,V36,840,VT4,0,28.7937,111.337,-75.0,16.0,6.0,16.0,1,1,1,216,3,4,25,8
1,1,44,F3,B26,F3B26,2,3,14,V35,840,VT6,0,-30.7324,110.818,-75.0,16.0,6.0,16.0,1,1,1,217,3,4,26,46
1,1,9,F3,B27,F3B27,0,1,9,V16,840,VCT17,0,1.00355,-114.996,65.0,16.0,6.0,16.0,1,1,1,218,3,4,27,9
1,1,33,F3,B28,F3B28,2,3,3,V30,840,VT20,0,82.0238,-80.6046,-75.0,16.0,6.0,16.0,1,1,1,219,3,4,28,35
1,1,45,F3,I1,F3I1,2,3,0,V5,840,VCT19,0,58.3669,-99.0874,65.0,16.0,6.0,16.0,1,1,1,220,3,5,1,32
1,1,3,F2,G17,F2G17,0,1,3,V14,840,VCT21,0,100.091,-56.6287,65.0,16.0,6.0,16.0,1,1,1,221,2,3,17,3
1,1,15,F2,G18,F2G18,0,1,0,V10,840,VCT5,0,-1.00355,114.996,65.0,16.0,6.0,16.0,1,1,1,222,2,3,18,0
1,1,27,F2,G19,F2G19,1,2,12,V12,840,VCT3,0,56.6287,100.091,65.0,16.0,6.0,16.0,1,1,1,223,2,3,19,28
1,1,40,F2,G20,F2G20,2,3,10,V13,840,VCT1,0,99.0874,58.3669,65.0,16.0,6.0,16.0,1,1,1,224,2,3,20,42
